n,tempo_segundos
205000,0.010000
206000,0.012000
207000,0.012000
208000,0.011000
209000,0.011000
210000,0.010000
211000,0.013000
212000,0.012000
213000,0.012000
214000,0.010000
215000,0.012000
216000,0.011000
217000,0.011000
218000,0.013000
219000,0.013000
220000,0.011000
221000,0.012000
222000,0.012000
223000,0.012000
224000,0.014000
225000,0.013000
226000,0.013000
227000,0.013000
228000,0.012000
229000,0.013000
230000,0.012000
231000,0.013000
232000,0.011000
233000,0.012000
234000,0.013000
235000,0.014000
236000,0.012000
237000,0.013000
238000,0.012000
239000,0.014000
240000,0.013000
241000,0.014000
242000,0.013000
243000,0.014000
244000,0.014000
245000,0.013000
246000,0.014000
247000,0.014000
248000,0.014000
249000,0.015000
250000,0.013000
251000,0.014000
252000,0.017000
253000,0.013000
254000,0.015000
255000,0.014000
256000,0.016000
257000,0.016000
258000,0.013000
259000,0.015000
260000,0.013000
261000,0.015000
262000,0.015000
263000,0.015000
264000,0.014000
265000,0.016000
266000,0.014000
267000,0.016000
268000,0.015000
269000,0.014000
270000,0.015000
271000,0.015000
272000,0.015000
273000,0.014000
274000,0.018000
275000,0.014000
276000,0.015000
277000,0.015000
278000,0.016000
279000,0.015000
280000,0.016000
281000,0.015000
282000,0.015000
283000,0.016000
284000,0.017000
285000,0.016000
286000,0.015000
287000,0.018000
288000,0.016000
289000,0.015000
290000,0.016000
291000,0.017000
292000,0.016000
293000,0.018000
294000,0.017000
295000,0.016000
296000,0.019000
297000,0.017000
298000,0.020000
299000,0.018000
300000,0.017000
301000,0.017000
302000,0.016000
303000,0.017000
304000,0.016000
305000,0.018000
306000,0.015000
307000,0.018000
308000,0.017000
309000,0.018000
310000,0.019000
311000,0.018000
312000,0.017000
313000,0.017000
314000,0.018000
315000,0.016000
316000,0.017000
317000,0.018000
318000,0.017000
319000,0.022000
320000,0.018000
321000,0.019000
322000,0.018000
323000,0.018000
324000,0.018000
325000,0.019000
326000,0.018000
327000,0.017000
328000,0.017000
329000,0.019000
330000,0.019000
331000,0.018000
332000,0.019000
333000,0.019000
334000,0.017000
335000,0.018000
336000,0.019000
337000,0.017000
338000,0.019000
339000,0.021000
340000,0.020000
341000,0.020000
342000,0.020000
343000,0.020000
344000,0.020000
345000,0.021000
346000,0.020000
347000,0.019000
348000,0.020000
349000,0.020000
350000,0.020000
351000,0.020000
352000,0.020000
353000,0.019000
354000,0.020000
355000,0.019000
356000,0.021000
357000,0.020000
358000,0.019000
359000,0.021000
360000,0.020000
361000,0.019000
362000,0.020000
363000,0.020000
364000,0.019000
365000,0.021000
366000,0.023000
367000,0.021000
368000,0.020000
369000,0.022000
370000,0.021000
371000,0.021000
372000,0.022000
373000,0.022000
374000,0.021000
375000,0.021000
376000,0.022000
377000,0.021000
378000,0.021000
379000,0.021000
380000,0.021000
381000,0.020000
382000,0.022000
383000,0.021000
384000,0.021000
385000,0.022000
386000,0.022000
387000,0.021000
388000,0.022000
389000,0.021000
390000,0.023000
391000,0.022000
392000,0.023000
393000,0.023000
394000,0.022000
395000,0.022000
396000,0.021000
397000,0.022000
398000,0.023000
399000,0.024000
400000,0.023000
401000,0.022000
402000,0.022000
403000,0.024000
404000,0.023000
405000,0.023000
406000,0.022000
407000,0.024000
408000,0.023000
409000,0.023000
410000,0.023000
411000,0.024000
412000,0.024000
413000,0.024000
414000,0.026000
415000,0.023000
416000,0.025000
417000,0.023000
418000,0.023000
419000,0.024000
420000,0.026000
421000,0.023000
422000,0.023000
423000,0.022000
424000,0.024000
425000,0.026000
426000,0.024000
427000,0.024000
428000,0.026000
429000,0.025000
430000,0.023000
431000,0.024000
432000,0.026000
433000,0.025000
434000,0.024000
435000,0.025000
436000,0.025000
437000,0.025000
438000,0.023000
439000,0.024000
440000,0.024000
441000,0.025000
442000,0.024000
443000,0.025000
444000,0.027000
445000,0.025000
446000,0.026000
447000,0.026000
448000,0.026000
449000,0.026000
450000,0.025000
451000,0.026000
452000,0.025000
453000,0.025000
454000,0.026000
455000,0.026000
456000,0.025000
457000,0.025000
458000,0.027000
459000,0.026000
460000,0.027000
461000,0.026000
462000,0.026000
463000,0.026000
464000,0.027000
465000,0.026000
466000,0.025000
467000,0.026000
468000,0.025000
469000,0.029000
470000,0.026000
471000,0.028000
472000,0.026000
473000,0.027000
474000,0.028000
475000,0.026000
476000,0.027000
477000,0.028000
478000,0.028000
479000,0.028000
480000,0.027000
481000,0.028000
482000,0.026000
483000,0.029000
484000,0.028000
485000,0.027000
486000,0.029000
487000,0.031000
488000,0.029000
489000,0.027000
490000,0.028000
491000,0.027000
492000,0.028000
493000,0.027000
494000,0.029000
495000,0.027000
496000,0.027000
497000,0.029000
498000,0.030000
499000,0.029000
500000,0.030000
501000,0.028000
502000,0.029000
503000,0.028000
504000,0.030000
505000,0.030000
506000,0.028000
507000,0.030000
508000,0.029000
509000,0.030000
510000,0.027000
511000,0.029000
512000,0.028000
513000,0.028000
514000,0.029000
515000,0.029000
