n,tempo_segundos
205000,0.013000
206000,0.015000
207000,0.015000
208000,0.014000
209000,0.015000
210000,0.015000
211000,0.015000
212000,0.015000
213000,0.016000
214000,0.015000
215000,0.015000
216000,0.015000
217000,0.015000
218000,0.014000
219000,0.016000
220000,0.015000
221000,0.015000
222000,0.016000
223000,0.015000
224000,0.015000
225000,0.015000
226000,0.017000
227000,0.015000
228000,0.016000
229000,0.017000
230000,0.016000
231000,0.016000
232000,0.017000
233000,0.018000
234000,0.015000
235000,0.016000
236000,0.018000
237000,0.017000
238000,0.017000
239000,0.015000
240000,0.017000
241000,0.017000
242000,0.018000
243000,0.019000
244000,0.018000
245000,0.019000
246000,0.018000
247000,0.018000
248000,0.018000
249000,0.016000
250000,0.018000
251000,0.018000
252000,0.019000
253000,0.017000
254000,0.016000
255000,0.019000
256000,0.019000
257000,0.018000
258000,0.019000
259000,0.018000
260000,0.019000
261000,0.020000
262000,0.018000
263000,0.019000
264000,0.020000
265000,0.019000
266000,0.019000
267000,0.019000
268000,0.019000
269000,0.019000
270000,0.020000
271000,0.018000
272000,0.019000
273000,0.020000
274000,0.018000
275000,0.020000
276000,0.019000
277000,0.020000
278000,0.019000
279000,0.020000
280000,0.019000
281000,0.020000
282000,0.022000
283000,0.020000
284000,0.024000
285000,0.022000
286000,0.021000
287000,0.021000
288000,0.020000
289000,0.023000
290000,0.020000
291000,0.023000
292000,0.020000
293000,0.022000
294000,0.020000
295000,0.021000
296000,0.022000
297000,0.020000
298000,0.022000
299000,0.021000
300000,0.022000
301000,0.021000
302000,0.022000
303000,0.022000
304000,0.023000
305000,0.021000
306000,0.023000
307000,0.022000
308000,0.021000
309000,0.022000
310000,0.023000
311000,0.022000
312000,0.023000
313000,0.022000
314000,0.026000
315000,0.022000
316000,0.025000
317000,0.023000
318000,0.024000
319000,0.023000
320000,0.024000
321000,0.023000
322000,0.023000
323000,0.022000
324000,0.023000
325000,0.024000
326000,0.023000
327000,0.023000
328000,0.023000
329000,0.024000
330000,0.024000
331000,0.024000
332000,0.024000
333000,0.024000
334000,0.026000
335000,0.025000
336000,0.025000
337000,0.024000
338000,0.024000
339000,0.024000
340000,0.025000
341000,0.023000
342000,0.026000
343000,0.026000
344000,0.025000
345000,0.026000
346000,0.026000
347000,0.024000
348000,0.025000
349000,0.025000
350000,0.024000
351000,0.025000
352000,0.027000
353000,0.025000
354000,0.026000
355000,0.026000
356000,0.025000
357000,0.026000
358000,0.025000
359000,0.027000
360000,0.027000
361000,0.026000
362000,0.027000
363000,0.027000
364000,0.026000
365000,0.026000
366000,0.027000
367000,0.028000
368000,0.029000
369000,0.026000
370000,0.030000
371000,0.028000
372000,0.028000
373000,0.027000
374000,0.029000
375000,0.028000
376000,0.027000
377000,0.029000
378000,0.027000
379000,0.029000
380000,0.028000
381000,0.029000
382000,0.028000
383000,0.029000
384000,0.027000
385000,0.029000
386000,0.028000
387000,0.029000
388000,0.029000
389000,0.028000
390000,0.030000
391000,0.029000
392000,0.028000
393000,0.028000
394000,0.029000
395000,0.033000
396000,0.033000
397000,0.030000
398000,0.030000
399000,0.030000
400000,0.029000
401000,0.030000
402000,0.029000
403000,0.030000
404000,0.030000
405000,0.030000
406000,0.029000
407000,0.030000
408000,0.031000
409000,0.030000
410000,0.031000
411000,0.031000
412000,0.030000
413000,0.032000
414000,0.031000
415000,0.031000
416000,0.030000
417000,0.031000
418000,0.032000
419000,0.031000
420000,0.031000
421000,0.031000
422000,0.032000
423000,0.033000
424000,0.031000
425000,0.030000
426000,0.032000
427000,0.032000
428000,0.033000
429000,0.033000
430000,0.033000
431000,0.032000
432000,0.031000
433000,0.031000
434000,0.033000
435000,0.034000
436000,0.032000
437000,0.033000
438000,0.033000
439000,0.032000
440000,0.034000
441000,0.033000
442000,0.035000
443000,0.034000
444000,0.032000
445000,0.034000
446000,0.033000
447000,0.033000
448000,0.035000
449000,0.037000
450000,0.032000
451000,0.034000
452000,0.034000
453000,0.035000
454000,0.033000
455000,0.035000
456000,0.034000
457000,0.036000
458000,0.034000
459000,0.033000
460000,0.034000
461000,0.033000
462000,0.034000
463000,0.035000
464000,0.034000
465000,0.036000
466000,0.035000
467000,0.035000
468000,0.035000
469000,0.035000
470000,0.035000
471000,0.037000
472000,0.034000
473000,0.036000
474000,0.037000
475000,0.036000
476000,0.035000
477000,0.035000
478000,0.036000
479000,0.038000
480000,0.036000
481000,0.036000
482000,0.037000
483000,0.037000
484000,0.036000
485000,0.041000
486000,0.035000
487000,0.037000
488000,0.037000
489000,0.039000
490000,0.042000
491000,0.040000
492000,0.037000
493000,0.038000
494000,0.038000
495000,0.037000
496000,0.039000
497000,0.039000
498000,0.038000
499000,0.039000
500000,0.039000
501000,0.037000
502000,0.037000
503000,0.040000
504000,0.038000
505000,0.035000
506000,0.039000
507000,0.039000
508000,0.040000
509000,0.038000
510000,0.038000
511000,0.038000
512000,0.041000
513000,0.039000
514000,0.039000
515000,0.040000
