n,tempo_segundos
205000,0.020000
206000,0.018000
207000,0.019000
208000,0.021000
209000,0.019000
210000,0.018000
211000,0.017000
212000,0.020000
213000,0.020000
214000,0.019000
215000,0.020000
216000,0.019000
217000,0.019000
218000,0.021000
219000,0.018000
220000,0.021000
221000,0.019000
222000,0.020000
223000,0.020000
224000,0.020000
225000,0.020000
226000,0.020000
227000,0.020000
228000,0.021000
229000,0.021000
230000,0.019000
231000,0.022000
232000,0.021000
233000,0.021000
234000,0.021000
235000,0.019000
236000,0.022000
237000,0.021000
238000,0.021000
239000,0.022000
240000,0.020000
241000,0.021000
242000,0.021000
243000,0.022000
244000,0.022000
245000,0.023000
246000,0.021000
247000,0.022000
248000,0.022000
249000,0.023000
250000,0.025000
251000,0.023000
252000,0.023000
253000,0.027000
254000,0.023000
255000,0.023000
256000,0.024000
257000,0.024000
258000,0.022000
259000,0.023000
260000,0.023000
261000,0.024000
262000,0.023000
263000,0.024000
264000,0.026000
265000,0.023000
266000,0.023000
267000,0.025000
268000,0.024000
269000,0.023000
270000,0.026000
271000,0.025000
272000,0.024000
273000,0.026000
274000,0.023000
275000,0.023000
276000,0.023000
277000,0.026000
278000,0.024000
279000,0.026000
280000,0.025000
281000,0.025000
282000,0.026000
283000,0.024000
284000,0.025000
285000,0.027000
286000,0.026000
287000,0.026000
288000,0.026000
289000,0.026000
290000,0.026000
291000,0.026000
292000,0.026000
293000,0.028000
294000,0.028000
295000,0.025000
296000,0.025000
297000,0.026000
298000,0.028000
299000,0.026000
300000,0.028000
301000,0.026000
302000,0.028000
303000,0.027000
304000,0.026000
305000,0.029000
306000,0.028000
307000,0.028000
308000,0.028000
309000,0.026000
310000,0.028000
311000,0.028000
312000,0.029000
313000,0.027000
314000,0.028000
315000,0.027000
316000,0.028000
317000,0.031000
318000,0.027000
319000,0.028000
320000,0.028000
321000,0.029000
322000,0.029000
323000,0.028000
324000,0.029000
325000,0.030000
326000,0.029000
327000,0.029000
328000,0.030000
329000,0.030000
330000,0.027000
331000,0.031000
332000,0.030000
333000,0.029000
334000,0.029000
335000,0.033000
336000,0.030000
337000,0.029000
338000,0.029000
339000,0.031000
340000,0.029000
341000,0.031000
342000,0.031000
343000,0.030000
344000,0.030000
345000,0.030000
346000,0.031000
347000,0.032000
348000,0.029000
349000,0.030000
350000,0.030000
351000,0.031000
352000,0.031000
353000,0.029000
354000,0.031000
355000,0.032000
356000,0.032000
357000,0.031000
358000,0.032000
359000,0.033000
360000,0.032000
361000,0.032000
362000,0.032000
363000,0.035000
364000,0.034000
365000,0.032000
366000,0.032000
367000,0.034000
368000,0.034000
369000,0.033000
370000,0.032000
371000,0.032000
372000,0.031000
373000,0.035000
374000,0.034000
375000,0.035000
376000,0.033000
377000,0.033000
378000,0.032000
379000,0.034000
380000,0.032000
381000,0.034000
382000,0.032000
383000,0.035000
384000,0.033000
385000,0.034000
386000,0.036000
387000,0.033000
388000,0.034000
389000,0.035000
390000,0.036000
391000,0.035000
392000,0.035000
393000,0.034000
394000,0.034000
395000,0.036000
396000,0.036000
397000,0.036000
398000,0.036000
399000,0.036000
400000,0.035000
401000,0.037000
402000,0.036000
403000,0.036000
404000,0.035000
405000,0.037000
406000,0.037000
407000,0.037000
408000,0.035000
409000,0.035000
410000,0.037000
411000,0.036000
412000,0.036000
413000,0.035000
414000,0.036000
415000,0.037000
416000,0.039000
417000,0.037000
418000,0.037000
419000,0.035000
420000,0.037000
421000,0.038000
422000,0.036000
423000,0.037000
424000,0.038000
425000,0.038000
426000,0.038000
427000,0.036000
428000,0.038000
429000,0.038000
430000,0.036000
431000,0.038000
432000,0.039000
433000,0.038000
434000,0.037000
435000,0.038000
436000,0.041000
437000,0.038000
438000,0.041000
439000,0.038000
440000,0.040000
441000,0.038000
442000,0.038000
443000,0.038000
444000,0.039000
445000,0.038000
446000,0.039000
447000,0.039000
448000,0.041000
449000,0.040000
450000,0.040000
451000,0.040000
452000,0.041000
453000,0.043000
454000,0.044000
455000,0.041000
456000,0.043000
457000,0.040000
458000,0.040000
459000,0.040000
460000,0.041000
461000,0.043000
462000,0.042000
463000,0.043000
464000,0.042000
465000,0.041000
466000,0.040000
467000,0.040000
468000,0.040000
469000,0.043000
470000,0.040000
471000,0.042000
472000,0.042000
473000,0.043000
474000,0.043000
475000,0.045000
476000,0.044000
477000,0.041000
478000,0.044000
479000,0.044000
480000,0.043000
481000,0.043000
482000,0.044000
483000,0.044000
484000,0.044000
485000,0.042000
486000,0.044000
487000,0.044000
488000,0.043000
489000,0.044000
490000,0.044000
491000,0.047000
492000,0.043000
493000,0.044000
494000,0.045000
495000,0.045000
496000,0.045000
497000,0.041000
498000,0.044000
499000,0.045000
500000,0.043000
501000,0.044000
502000,0.044000
503000,0.048000
504000,0.047000
505000,0.047000
506000,0.045000
507000,0.045000
508000,0.045000
509000,0.046000
510000,0.046000
511000,0.046000
512000,0.045000
513000,0.045000
514000,0.046000
515000,0.047000
