n,tempo_segundos
755000,0.165000
756000,0.164000
757000,0.164000
758000,0.167000
759000,0.174000
760000,0.169000
761000,0.170000
762000,0.164000
763000,0.166000
764000,0.169000
765000,0.162000
766000,0.169000
767000,0.171000
768000,0.173000
769000,0.171000
770000,0.164000
771000,0.160000
772000,0.166000
773000,0.161000
774000,0.164000
775000,0.166000
776000,0.167000
777000,0.174000
778000,0.174000
779000,0.162000
780000,0.166000
781000,0.165000
782000,0.165000
783000,0.161000
784000,0.166000
785000,0.168000
786000,0.171000
787000,0.167000
788000,0.165000
789000,0.165000
790000,0.172000
791000,0.167000
792000,0.174000
793000,0.173000
794000,0.167000
795000,0.163000
796000,0.178000
797000,0.175000
798000,0.165000
799000,0.168000
800000,0.166000
801000,0.169000
802000,0.165000
803000,0.166000
804000,0.166000
805000,0.186000
806000,0.165000
807000,0.163000
808000,0.168000
809000,0.163000
810000,0.168000
811000,0.166000
812000,0.171000
813000,0.176000
814000,0.166000
815000,0.190000
816000,0.173000
817000,0.169000
818000,0.166000
819000,0.171000
820000,0.167000
821000,0.172000
822000,0.186000
823000,0.170000
824000,0.168000
825000,0.191000
826000,0.193000
827000,0.177000
828000,0.189000
829000,0.205000
830000,0.181000
831000,0.173000
832000,0.181000
833000,0.207000
834000,0.198000
835000,0.186000
836000,0.165000
837000,0.175000
838000,0.167000
839000,0.172000
840000,0.181000
841000,0.184000
842000,0.183000
843000,0.187000
844000,0.176000
845000,0.183000
846000,0.184000
847000,0.180000
848000,0.189000
849000,0.175000
850000,0.180000
851000,0.192000
852000,0.186000
853000,0.170000
854000,0.174000
855000,0.169000
856000,0.177000
857000,0.172000
858000,0.169000
859000,0.175000
860000,0.168000
861000,0.185000
862000,0.216000
863000,0.173000
864000,0.167000
865000,0.173000
866000,0.176000
867000,0.168000
868000,0.178000
869000,0.172000
870000,0.175000
871000,0.186000
872000,0.177000
873000,0.167000
874000,0.176000
875000,0.168000
876000,0.175000
877000,0.180000
878000,0.171000
879000,0.174000
880000,0.182000
881000,0.175000
882000,0.179000
883000,0.168000
884000,0.179000
885000,0.171000
886000,0.178000
887000,0.164000
888000,0.184000
889000,0.174000
890000,0.171000
891000,0.180000
892000,0.177000
893000,0.176000
894000,0.170000
895000,0.192000
896000,0.188000
897000,0.172000
898000,0.168000
899000,0.183000
900000,0.171000
901000,0.169000
902000,0.179000
903000,0.179000
904000,0.170000
905000,0.179000
906000,0.173000
907000,0.227000
908000,0.172000
909000,0.174000
910000,0.172000
911000,0.173000
912000,0.175000
913000,0.174000
914000,0.172000
915000,0.164000
916000,0.176000
917000,0.174000
918000,0.172000
919000,0.183000
920000,0.176000
921000,0.170000
922000,0.172000
923000,0.187000
924000,0.179000
925000,0.179000
926000,0.171000
927000,0.175000
928000,0.175000
929000,0.176000
930000,0.176000
931000,0.175000
932000,0.179000
933000,0.178000
934000,0.170000
935000,0.180000
936000,0.176000
937000,0.176000
938000,0.181000
939000,0.186000
940000,0.172000
941000,0.173000
942000,0.172000
943000,0.176000
944000,0.182000
945000,0.181000
946000,0.175000
947000,0.174000
948000,0.172000
949000,0.168000
950000,0.171000
951000,0.175000
952000,0.224000
953000,0.175000
954000,0.178000
955000,0.175000
956000,0.173000
957000,0.181000
958000,0.177000
959000,0.182000
960000,0.183000
961000,0.172000
962000,0.175000
963000,0.176000
964000,0.174000
965000,0.187000
966000,0.169000
967000,0.180000
968000,0.177000
969000,0.172000
970000,0.175000
971000,0.167000
972000,0.185000
973000,0.172000
974000,0.171000
975000,0.179000
976000,0.184000
977000,0.171000
978000,0.175000
979000,0.176000
980000,0.176000
981000,0.171000
982000,0.172000
983000,0.168000
984000,0.167000
985000,0.170000
986000,0.172000
987000,0.173000
988000,0.184000
989000,0.182000
990000,0.172000
991000,0.174000
992000,0.176000
993000,0.183000
994000,0.183000
995000,0.172000
996000,0.177000
997000,0.170000
998000,0.178000
999000,0.169000
1000000,0.173000
